id,customer_name,sentiment,csat_score,call_timestamp,Call_Day,reason,city,state,channel,response_time,call_duration_in_minutes,call_center
AAM-16476750-f-900342-c6,"Harmonia Ipwell",Negative,0,10/13/2020,13,"Billing Question",Tulsa,Oklahoma,Call-Center,"Within SLA",22,Baltimore/MD
AAM-24463809-s-463609-8c,"Lissi Catonne",Neutral,7,10/22/2020,22,Payments,Lancaster,Pennsylvania,Call-Center,"Within SLA",24,Baltimore/MD
AAM-28160436-9-466005-Ps,"Vinson Renyard","Very Positive",10,10/17/2020,17,Payments,Paterson,"New Jersey",Call-Center,"Within SLA",10,"Los Angeles/CA"
AAM-67344603-W-581538-qn,"Orazio Houten",Negative,0,10/15/2020,15,"Billing Question",Clearwater,Florida,Web,"Below SLA",36,"Los Angeles/CA"
AAM-76650529-r-620062-qG,"Jessamine Oleshunin",Negative,0,10/19/2020,19,"Billing Question",Washington,"District of Columbia",Chatbot,"Within SLA",17,Baltimore/MD
AAN-17425474-f-089955-Zl,"Roxanne Burl",Negative,0,10-05-2020,5,Payments,Manchester,"New Hampshire",Call-Center,"Within SLA",32,Chicago/IL
AAN-30992273-B-455433-S1,"Orrin Hearnaman",Neutral,0,10/20/2020,20,"Billing Question",Lynn,Massachusetts,Web,"Within SLA",24,Baltimore/MD
AAN-35255668-Y-786676-GG,"Dorolice Alishoner",Negative,0,10-12-2020,12,"Service Outage",Boston,Massachusetts,Email,"Within SLA",27,Chicago/IL
AAO-79477258-4-901603-hL,"Tate Chidwick",Neutral,0,10-02-2020,2,"Billing Question",Pittsburgh,Pennsylvania,Call-Center,"Within SLA",6,"Los Angeles/CA"
AAO-97925279-N-959600-iS,"Emilee Pudan","Very Negative",0,10/26/2020,26,Payments,Durham,"North Carolina",Call-Center,"Within SLA",34,"Los Angeles/CA"
AAP-26862170-4-279567-Js,"Ursula Lavrick",Neutral,0,10/16/2020,16,"Billing Question","Garden Grove",California,Chatbot,"Within SLA",16,Chicago/IL
AAP-56121141-e-659041-kE,"Tabb Rabbage",Neutral,7,10-01-2020,1,"Billing Question","Kansas City",Missouri,Email,"Within SLA",41,Chicago/IL
AAP-75864646-Q-577760-40,"Lucille Bigham",Positive,9,10/20/2020,20,"Billing Question",Denver,Colorado,Chatbot,"Below SLA",34,"Los Angeles/CA"
AAP-87210556-N-600322-Ez,"Lenard Tomet",Neutral,0,10-04-2020,4,"Billing Question",Atlanta,Georgia,Web,"Within SLA",25,"Los Angeles/CA"
AAR-06190528-r-994754-PN,"Newton Hedderly","Very Negative",0,10/27/2020,27,"Billing Question",Charlotte,"North Carolina",Call-Center,"Above SLA",7,Chicago/IL
AAR-18900466-z-593408-9Q,"Alex Dumbelton","Very Negative",0,10-06-2020,6,"Billing Question",Washington,"District of Columbia",Email,"Below SLA",14,Baltimore/MD
AAR-72355759-x-505886-4w,"Ignacius Maurice","Very Negative",0,10/22/2020,22,Payments,Montgomery,Alabama,Call-Center,"Below SLA",7,"Los Angeles/CA"
AAR-76637112-u-393942-YY,"Sterling Staves",Negative,0,10/25/2020,25,"Billing Question",Pittsburgh,Pennsylvania,Call-Center,"Within SLA",14,Denver/CO
AAS-80379381-f-915564-cV,"Halley Wilkerson",Negative,4,10/19/2020,19,"Service Outage",Sparks,Nevada,Web,"Within SLA",5,Baltimore/MD
AAS-82228974-y-969269-m3,"Kandy Gallety","Very Positive",10,10/15/2020,15,"Billing Question","Los Angeles",California,Web,"Above SLA",29,"Los Angeles/CA"
AAS-96671334-z-432224-5P,"Kristoforo Hoofe",Negative,0,10/19/2020,19,"Billing Question",Oakland,California,Email,"Above SLA",15,Chicago/IL
AAT-53465245-9-250458-MD,"Manya Firle","Very Negative",0,10/18/2020,18,"Billing Question","New Haven",Connecticut,Call-Center,"Above SLA",34,Chicago/IL
AAT-75307639-3-594254-7W,"Angel Durgan","Very Negative",0,10/23/2020,23,"Service Outage",Denver,Colorado,Email,"Within SLA",45,"Los Angeles/CA"
AAU-19071872-l-767060-IT,"Tomas Lilleman",Neutral,0,10/19/2020,19,"Billing Question",Louisville,Kentucky,Web,"Within SLA",26,Denver/CO
AAU-53284369-O-231068-hJ,"Louella Davidde",Positive,0,10-07-2020,7,"Service Outage",Orange,California,Email,"Within SLA",37,"Los Angeles/CA"
AAU-59108059-N-723282-PI,"Carlyle Ashmole","Very Positive",0,10/26/2020,26,"Billing Question","Saint Louis",Missouri,Email,"Within SLA",29,Chicago/IL
AAV-55712680-M-150407-aO,"Carline Goranov",Negative,3,10/30/2020,30,"Billing Question","Des Moines",Iowa,Email,"Within SLA",11,"Los Angeles/CA"
AAV-93574943-s-607189-o8,"Wyn Twitchings",Neutral,6,10/14/2020,14,"Billing Question",Lubbock,Texas,Call-Center,"Below SLA",29,"Los Angeles/CA"
AAW-85808076-I-731688-A1,"Susi Hoggetts","Very Positive",10,10/22/2020,22,"Billing Question",Irvine,California,Chatbot,"Above SLA",43,"Los Angeles/CA"
AAY-33436823-a-839214-vh,"Adiana Albisser",Neutral,0,10-03-2020,3,"Billing Question","Saint Louis",Missouri,Call-Center,"Below SLA",6,Chicago/IL
AAY-71123295-b-462877-Yc,"Megan Soanes",Neutral,0,10-04-2020,4,"Billing Question",Phoenix,Arizona,Chatbot,"Within SLA",11,Baltimore/MD
AAZ-07602543-j-739510-2U,"Andrej Marusyak",Negative,6,10-05-2020,5,"Billing Question",Conroe,Texas,Call-Center,"Below SLA",29,"Los Angeles/CA"
AAZ-63205041-L-649076-zs,"Reggie Bellefonte",Positive,0,10/13/2020,13,"Billing Question",Atlanta,Georgia,Chatbot,"Within SLA",31,Chicago/IL
AAZ-87554486-c-344303-Qm,"Georgine Birden",Positive,0,10-05-2020,5,"Billing Question",Scottsdale,Arizona,Web,"Within SLA",43,"Los Angeles/CA"
ABB-11911576-a-141607-W5,"Corene Charlin",Neutral,0,10/17/2020,17,"Billing Question",Charleston,"West Virginia",Call-Center,"Within SLA",40,"Los Angeles/CA"
ABB-38485314-y-080888-AB,"Barbette Johann","Very Negative",1,10/25/2020,25,Payments,Boston,Massachusetts,Call-Center,"Within SLA",17,Chicago/IL
ABB-63676693-c-049214-19,"Sigrid Mingo",Positive,0,10/15/2020,15,Payments,Lakewood,Washington,Call-Center,"Below SLA",36,"Los Angeles/CA"
ABB-91988499-k-181948-f0,"Randy Riall",Neutral,6,10/20/2020,20,"Billing Question","Young America",Minnesota,Chatbot,"Above SLA",34,Baltimore/MD
ABC-50434863-q-514845-yp,"Ax Hayhow","Very Negative",2,10/27/2020,27,"Billing Question",Sacramento,California,Email,"Within SLA",37,Chicago/IL
ABC-56014448-V-074768-Ye,"Joell Pherps",Neutral,7,10/13/2020,13,Payments,Knoxville,Tennessee,Call-Center,"Within SLA",19,Denver/CO
ABD-13623421-L-291517-Gu,"Creigh Purchase",Negative,0,10/15/2020,15,"Billing Question",Northridge,California,Call-Center,"Within SLA",43,Denver/CO
ABD-17771727-v-898121-w1,"Nefen O'Cridigan",Negative,0,10/21/2020,21,"Billing Question",Oakland,California,Chatbot,"Within SLA",7,"Los Angeles/CA"
ABD-18250411-a-121317-mv,"Malvina Scurman","Very Positive",9,10/24/2020,24,"Billing Question","Green Bay",Wisconsin,Web,"Within SLA",38,"Los Angeles/CA"
ABE-47352675-l-931537-ug,"Marjy Griffith","Very Negative",0,10-09-2020,9,Payments,Alpharetta,Georgia,Call-Center,"Above SLA",35,"Los Angeles/CA"
ABF-86189991-Q-330023-5R,"Barney Wartonby",Neutral,6,10-05-2020,5,"Billing Question","New York City","New York",Email,"Below SLA",8,"Los Angeles/CA"
ABG-46972551-y-208760-BH,"Janey Delves",Positive,0,10-05-2020,5,"Billing Question",Spring,Texas,Email,"Within SLA",11,Chicago/IL
ABG-98544637-N-881832-I8,"Padraic Clemente",Neutral,0,10/27/2020,27,"Billing Question","Young America",Minnesota,Web,"Within SLA",43,Baltimore/MD
ABI-32421675-t-696763-Qo,"Lenka Mulryan","Very Negative",2,10-05-2020,5,"Billing Question",Herndon,Virginia,Call-Center,"Within SLA",15,"Los Angeles/CA"
ABJ-07188852-S-895716-7C,"Damian Poolton",Neutral,0,10-01-2020,1,"Billing Question","El Paso",Texas,Call-Center,"Below SLA",9,Baltimore/MD
ABJ-37777704-F-426215-HO,"Ned Bunten",Neutral,5,10-06-2020,6,"Billing Question",Chicago,Illinois,Web,"Within SLA",19,Chicago/IL
ABK-09847353-y-616256-HQ,"Babita Oddboy",Positive,8,10-10-2020,10,"Billing Question",Milwaukee,Wisconsin,Chatbot,"Within SLA",41,Chicago/IL
ABK-35464239-i-856539-OP,"Marietta Lacroutz","Very Negative",0,10-03-2020,3,Payments,"West Palm Beach",Florida,Call-Center,"Below SLA",29,"Los Angeles/CA"
ABK-54886915-w-051478-MU,"Berri Fairn","Very Positive",9,10-04-2020,4,Payments,Cincinnati,Ohio,Call-Center,"Within SLA",5,"Los Angeles/CA"
ABK-65702060-X-640676-C7,"Clayborne Arlott",Negative,0,10-06-2020,6,"Billing Question",Birmingham,Alabama,Email,"Within SLA",14,Baltimore/MD
ABL-00369532-u-286753-xQ,"Rhody Clunan",Positive,0,10-09-2020,9,"Billing Question",Sacramento,California,Email,"Within SLA",42,"Los Angeles/CA"
ABL-49667268-l-692732-nZ,"Lewes Sandyford",Negative,0,10/14/2020,14,"Billing Question",Raleigh,"North Carolina",Email,"Below SLA",10,Baltimore/MD
ABM-71479982-G-955317-lh,"Carlin Bing",Negative,0,10/15/2020,15,"Billing Question","Los Angeles",California,Chatbot,"Within SLA",36,Denver/CO
ABN-22372424-r-536718-gy,"Francisco Wallach",Positive,0,10/21/2020,21,Payments,Kent,Washington,Call-Center,"Below SLA",27,"Los Angeles/CA"
ABN-55071122-x-703525-ff,"Etienne Ward",Positive,0,10/26/2020,26,"Billing Question","Oklahoma City",Oklahoma,Web,"Above SLA",35,"Los Angeles/CA"
ABO-17858518-Y-850565-iM,"Esra Littler",Negative,0,10-06-2020,6,"Service Outage",Brooksville,Florida,Chatbot,"Within SLA",37,Chicago/IL
ABP-35801280-f-649653-jX,"Monah Cockerill",Negative,0,10/27/2020,27,"Billing Question",Washington,"District of Columbia",Email,"Within SLA",25,"Los Angeles/CA"
ABP-87719889-X-632583-NW,"Deck Jellico",Negative,5,10-07-2020,7,"Billing Question","Myrtle Beach","South Carolina",Web,"Within SLA",38,"Los Angeles/CA"
ABQ-21259095-d-322207-K6,"Rocky Bedborough","Very Positive",0,10/29/2020,29,"Billing Question",Dallas,Texas,Call-Center,"Above SLA",8,Baltimore/MD
ABQ-69786369-l-190368-ZA,"Dewie Krzyzaniak",Neutral,0,10/24/2020,24,"Billing Question",Naperville,Illinois,Email,"Within SLA",11,Baltimore/MD
ABR-34794642-k-284006-LZ,"Alfie Pigot",Negative,0,10/20/2020,20,"Billing Question",Muncie,Indiana,Email,"Above SLA",14,Chicago/IL
ABR-80000720-t-707099-iD,"Hercule Grimmolby",Negative,0,10-03-2020,3,"Billing Question",Pasadena,California,Email,"Below SLA",32,"Los Angeles/CA"
ABS-12479762-e-157465-VS,"Martina Wilsey",Negative,0,10/29/2020,29,Payments,Brea,California,Call-Center,"Within SLA",20,Denver/CO
ABS-82399735-I-450769-31,"Inness Pinsent","Very Negative",0,10-06-2020,6,Payments,Newark,"New Jersey",Call-Center,"Within SLA",15,"Los Angeles/CA"
ABS-86308509-f-138659-09,"Fara Dymick",Neutral,6,10-01-2020,1,"Billing Question","Fort Worth",Texas,Chatbot,"Within SLA",42,"Los Angeles/CA"
ABT-54121115-T-403439-oJ,"Emmi Ferrotti","Very Negative",0,10/17/2020,17,Payments,Gadsden,Alabama,Call-Center,"Within SLA",10,"Los Angeles/CA"
ABT-56416541-T-389898-hr,"Filberto Kyndred","Very Positive",0,10-06-2020,6,"Billing Question",Durham,"North Carolina",Email,"Within SLA",7,Baltimore/MD
ABU-76554602-x-662523-9P,"Pepita Tidcombe",Negative,0,10-01-2020,1,"Billing Question","New Castle",Pennsylvania,Chatbot,"Within SLA",9,"Los Angeles/CA"
ABV-19906776-N-361245-yX,"Tatum Ledrane","Very Positive",0,10/26/2020,26,"Billing Question",Dayton,Ohio,Email,"Above SLA",45,Baltimore/MD
ABV-93974608-F-211415-j1,"Susy Panniers",Negative,3,10-06-2020,6,"Billing Question",Miami,Florida,Email,"Below SLA",33,Baltimore/MD
ABW-05125804-2-586383-b2,"Aurore Strank",Negative,5,10/18/2020,18,"Service Outage",Pueblo,Colorado,Email,"Above SLA",29,"Los Angeles/CA"
ABW-59673428-u-717918-nK,"Roxie Gilby",Negative,6,10-08-2020,8,"Billing Question",Lakewood,Washington,Call-Center,"Below SLA",11,Denver/CO
ABW-82676885-i-712845-oa,"Ilyssa Tolfrey",Positive,0,10-05-2020,5,"Billing Question","San Diego",California,Chatbot,"Within SLA",24,Chicago/IL
ABX-39451389-S-133767-Ta,"Georgetta Portingale",Positive,0,10-01-2020,1,"Service Outage",Spartanburg,"South Carolina",Chatbot,"Below SLA",28,"Los Angeles/CA"
ACA-58053876-H-693540-7z,"Craig Sammonds","Very Positive",10,10/24/2020,24,"Billing Question","Oklahoma City",Oklahoma,Web,"Above SLA",24,Baltimore/MD
ACB-92952013-8-452533-SH,"Parker Dmisek",Neutral,0,10-04-2020,4,"Billing Question","San Antonio",Texas,Web,"Within SLA",14,"Los Angeles/CA"
ACB-94517357-W-734265-Nf,"Maryanna Wildber",Neutral,5,10/14/2020,14,"Service Outage","New Orleans",Louisiana,Web,"Above SLA",44,Chicago/IL
ACC-44326046-J-372932-MK,"Barnaby Walshaw",Negative,0,10-09-2020,9,Payments,Harrisburg,Pennsylvania,Call-Center,"Below SLA",43,"Los Angeles/CA"
ACC-60850826-b-749605-Tq,"Essa Baddow",Positive,7,10-05-2020,5,"Billing Question",Clearwater,Florida,Email,"Below SLA",19,"Los Angeles/CA"
ACD-26185418-G-947607-4E,"Trixy Lelievre","Very Negative",2,10/23/2020,23,"Billing Question",Denver,Colorado,Web,"Below SLA",24,Chicago/IL
ACD-88081846-d-064356-vv,"Deloria Mack",Neutral,5,10/26/2020,26,"Service Outage","San Antonio",Texas,Chatbot,"Within SLA",24,Denver/CO
ACD-93016460-A-833226-kH,"Adamo Ferris",Negative,5,10-06-2020,6,"Billing Question","Des Moines",Iowa,Email,"Within SLA",31,Chicago/IL
ACD-95213289-u-666897-Qv,"Any Batterham",Neutral,0,10/25/2020,25,"Billing Question",Hayward,California,Email,"Within SLA",38,Denver/CO
ACF-70496828-f-622155-2M,"Torrin Brenston","Very Positive",0,10/23/2020,23,"Billing Question",Albuquerque,"New Mexico",Email,"Within SLA",12,Chicago/IL
ACH-31995608-O-258058-kb,"Maisey McKenna","Very Negative",4,10/22/2020,22,"Billing Question",Jackson,Mississippi,Call-Center,"Within SLA",45,"Los Angeles/CA"
ACH-36749554-1-130450-KV,"Lauren Shepley","Very Negative",0,10-04-2020,4,"Service Outage",Providence,"Rhode Island",Email,"Below SLA",32,Chicago/IL
ACI-69828116-Z-070252-1E,"Henrieta Danielian","Very Positive",10,10/30/2020,30,Payments,"Colorado Springs",Colorado,Call-Center,"Below SLA",12,Chicago/IL
ACJ-46859898-I-784218-mQ,"Ursala Kilsby","Very Negative",0,10-08-2020,8,"Billing Question","Saint Louis",Missouri,Chatbot,"Within SLA",28,Baltimore/MD
ACJ-78894959-D-599583-8u,"Margi Longstreeth",Neutral,0,10/22/2020,22,"Billing Question",Washington,"District of Columbia",Chatbot,"Below SLA",42,Chicago/IL
ACJ-79749727-E-435610-NA,"Hertha Stollberg",Neutral,7,10/20/2020,20,"Service Outage",Pasadena,California,Chatbot,"Below SLA",28,"Los Angeles/CA"
ACJ-83115031-v-161814-VL,"Ced L'Episcopio",Positive,0,10/30/2020,30,"Billing Question",Houston,Texas,Call-Center,"Below SLA",27,Chicago/IL
ACL-15445887-I-029274-bR,"Vinny Cahen",Negative,6,10/21/2020,21,"Billing Question","Lake Worth",Florida,Email,"Below SLA",31,Chicago/IL
ACM-54335426-w-598757-KP,"Karrie Laborda",Neutral,0,10/21/2020,21,"Billing Question",Saginaw,Michigan,Web,"Within SLA",40,"Los Angeles/CA"
ACM-86428627-v-661880-0R,"Silvie Matushevitz",Neutral,8,10-05-2020,5,"Billing Question",Hollywood,Florida,Web,"Below SLA",29,"Los Angeles/CA"
ACN-77873640-3-790247-pP,"Merci Yerson",Negative,5,10/23/2020,23,Payments,Springfield,Illinois,Call-Center,"Below SLA",40,Baltimore/MD
ACO-20220185-E-171819-sV,"Johnette Warrington",Negative,5,10/20/2020,20,"Service Outage",Boulder,Colorado,Chatbot,"Within SLA",15,Baltimore/MD
ACO-43107320-w-448962-X1,"Langsdon Butler",Neutral,5,10/16/2020,16,"Billing Question","North Las Vegas",Nevada,Email,"Below SLA",40,"Los Angeles/CA"
ACO-45490954-v-207215-H0,"Jackie Rossbrook",Neutral,0,10-08-2020,8,"Billing Question",Buffalo,"New York",Web,"Within SLA",6,Baltimore/MD
ACO-74036498-L-833623-9F,"Kiersten Feild","Very Negative",0,10-10-2020,10,"Billing Question",Johnstown,Pennsylvania,Email,"Within SLA",11,"Los Angeles/CA"
ACP-72789209-h-980325-ef,"Maude Staddom",Neutral,0,10-01-2020,1,"Billing Question","Fort Worth",Texas,Web,"Below SLA",17,Baltimore/MD
ACP-97216480-Y-020641-3S,"Johannah Geering",Negative,0,10-09-2020,9,"Billing Question",Columbia,"South Carolina",Call-Center,"Above SLA",16,"Los Angeles/CA"
ACQ-32837644-u-056238-6O,"Beatrice Trahmel",Negative,0,10/13/2020,13,"Billing Question",Orlando,Florida,Call-Center,"Within SLA",14,Baltimore/MD
ACQ-63385867-T-586347-Qy,"Obidiah Shord",Positive,9,10/25/2020,25,"Billing Question","Van Nuys",California,Email,"Within SLA",41,Chicago/IL
ACR-80565897-b-613567-DA,"Luise Renneke",Positive,0,10/24/2020,24,"Billing Question",Columbia,Missouri,Chatbot,"Below SLA",23,"Los Angeles/CA"
ACS-12661335-f-078409-Pb,"Izabel McLaughlin",Negative,0,10-09-2020,9,"Billing Question",Decatur,Georgia,Web,"Within SLA",32,"Los Angeles/CA"
ACS-55956340-x-732684-bs,"Mannie Bonsey","Very Negative",0,10-02-2020,2,Payments,Charlotte,"North Carolina",Call-Center,"Below SLA",40,"Los Angeles/CA"
ACT-48837150-S-621193-pZ,"Tristam Coil",Negative,0,10/20/2020,20,Payments,Suffolk,Virginia,Call-Center,"Below SLA",39,"Los Angeles/CA"
ACU-24471158-A-087914-Da,"Charley Wycliffe","Very Negative",0,10-05-2020,5,"Billing Question",Dallas,Texas,Web,"Within SLA",16,"Los Angeles/CA"
ACU-36549849-2-800537-iB,"Janet Longforth","Very Positive",9,10/19/2020,19,"Billing Question",Naples,Florida,Call-Center,"Above SLA",27,Baltimore/MD
ACU-79982099-z-388574-23,"Rollo Kobpac",Negative,6,10-11-2020,11,"Service Outage","Kansas City",Kansas,Chatbot,"Within SLA",26,"Los Angeles/CA"
ACW-72345940-L-941852-PH,"Devinne Girvin","Very Positive",0,10-06-2020,6,Payments,Albuquerque,"New Mexico",Call-Center,"Within SLA",25,"Los Angeles/CA"
ACZ-05345443-p-062919-ZX,"Winnie Casemore",Negative,0,10/16/2020,16,"Service Outage",Memphis,Tennessee,Email,"Below SLA",14,"Los Angeles/CA"
ACZ-06564550-F-221698-KK,"Concordia McChruiter",Neutral,8,10/29/2020,29,"Service Outage","Colorado Springs",Colorado,Email,"Within SLA",21,"Los Angeles/CA"
ADA-13033039-t-872985-8V,"Clary Wonfor",Negative,0,10/28/2020,28,"Billing Question",Washington,"District of Columbia",Chatbot,"Within SLA",34,Chicago/IL
ADA-90095505-U-023645-HG,"Jamal Stockoe",Negative,0,10/21/2020,21,"Billing Question",Mansfield,Ohio,Call-Center,"Within SLA",44,Baltimore/MD
ADB-05896225-t-125420-6V,"Jaymie Hatz","Very Negative",0,10-02-2020,2,Payments,Charleston,"West Virginia",Call-Center,"Below SLA",19,Baltimore/MD
ADB-35798611-s-275848-v5,"Rubetta Boadby",Negative,0,10-05-2020,5,"Billing Question",Boise,Idaho,Email,"Below SLA",37,"Los Angeles/CA"
ADC-45000402-g-588813-Xo,"Claudia Pester",Positive,0,10-11-2020,11,"Billing Question","Des Moines",Iowa,Email,"Within SLA",22,"Los Angeles/CA"
ADD-13392511-Q-014777-rW,"Ebeneser Inchan","Very Negative",0,10-07-2020,7,"Billing Question",Washington,"District of Columbia",Chatbot,"Within SLA",9,"Los Angeles/CA"
ADD-22472215-6-867875-i9,"Angil Klass",Neutral,0,10-12-2020,12,"Billing Question",Cleveland,Ohio,Call-Center,"Within SLA",39,Baltimore/MD
ADD-29235481-v-379800-dd,"Jemie Delos","Very Negative",0,10-01-2020,1,"Billing Question",Springfield,Illinois,Email,"Below SLA",25,"Los Angeles/CA"
ADD-52461983-2-572581-j5,"Margalit Libermore",Negative,4,10/18/2020,18,"Billing Question","Saint Louis",Missouri,Chatbot,"Within SLA",9,"Los Angeles/CA"
ADD-82219259-r-882390-EG,"Errol Follos",Neutral,0,10-12-2020,12,"Billing Question","Fort Wayne",Indiana,Chatbot,"Below SLA",35,Baltimore/MD
ADF-61445458-U-129113-ou,"Deina Hawtry",Negative,6,10-04-2020,4,"Billing Question",Sparks,Nevada,Email,"Below SLA",33,"Los Angeles/CA"
ADF-90803392-E-455691-Tj,"Betta Drury","Very Negative",1,10-06-2020,6,"Billing Question",Washington,"District of Columbia",Chatbot,"Below SLA",9,"Los Angeles/CA"
ADG-45990959-H-081803-lc,"Gustie Sonnenschein","Very Negative",0,10/18/2020,18,"Billing Question",Reading,Pennsylvania,Web,"Within SLA",21,Baltimore/MD
ADG-73733152-b-093036-S1,"Eda Woolmer","Very Negative",2,10-07-2020,7,"Service Outage",Columbus,Ohio,Email,"Within SLA",44,"Los Angeles/CA"
ADG-80178942-6-360880-Kx,"Linea McCullen",Neutral,6,10/14/2020,14,"Service Outage","Los Angeles",California,Chatbot,"Below SLA",12,"Los Angeles/CA"
ADH-19274891-H-651209-HD,"Dewey Lemmer",Positive,0,10-12-2020,12,"Billing Question",Miami,Florida,Email,"Within SLA",11,"Los Angeles/CA"
ADH-37770170-0-958992-RD,"Rita Romayn",Negative,0,10-02-2020,2,"Billing Question",Sacramento,California,Web,"Within SLA",13,"Los Angeles/CA"
ADH-97385838-o-100035-fC,"Alicia Abramski",Negative,0,10-02-2020,2,Payments,Dallas,Texas,Call-Center,"Within SLA",20,Baltimore/MD
ADI-18403811-N-192452-GP,"Zilvia Songist",Negative,0,10-05-2020,5,"Service Outage",Albany,"New York",Email,"Within SLA",44,Chicago/IL
ADI-74889604-y-862336-oi,"Billy de Nore",Neutral,8,10/25/2020,25,"Service Outage",Anaheim,California,Email,"Within SLA",10,Baltimore/MD
ADJ-32322659-b-817383-kb,"Melosa Jillard",Negative,0,10/29/2020,29,"Billing Question",Denver,Colorado,Web,"Below SLA",44,Baltimore/MD
